Generation,Position,Frequency,Effect,Origin
1,610140,0.099650,0.088816,1
2,610140,0.096500,0.088816,1
3,610140,0.092700,0.088816,1
4,610140,0.091000,0.088816,1
5,610140,0.091600,0.088816,1
6,610140,0.091450,0.088816,1
7,610140,0.089100,0.088816,1
8,610140,0.088050,0.088816,1
9,610140,0.085800,0.088816,1
10,610140,0.083600,0.088816,1
11,610140,0.081250,0.088816,1
12,610140,0.078850,0.088816,1
13,610140,0.076450,0.088816,1
14,610140,0.075500,0.088816,1
15,610140,0.072800,0.088816,1
16,610140,0.075300,0.088816,1
17,610140,0.072400,0.088816,1
18,610140,0.072200,0.088816,1
19,610140,0.070300,0.088816,1
20,610140,0.070950,0.088816,1
21,610140,0.071950,0.088816,1
22,610140,0.066200,0.088816,1
23,610140,0.062650,0.088816,1
24,610140,0.061000,0.088816,1
25,610140,0.059800,0.088816,1
26,610140,0.058500,0.088816,1
27,610140,0.065000,0.088816,1
28,610140,0.062500,0.088816,1
29,610140,0.065500,0.088816,1
30,610140,0.061500,0.088816,1
31,610140,0.059500,0.088816,1
32,610140,0.064000,0.088816,1
33,610140,0.068000,0.088816,1
34,610140,0.069500,0.088816,1
35,610140,0.071500,0.088816,1
36,610140,0.079000,0.088816,1
37,610140,0.076500,0.088816,1
38,610140,0.077500,0.088816,1
39,610140,0.083000,0.088816,1
40,610140,0.080000,0.088816,1
41,610140,0.087500,0.088816,1
42,610140,0.093000,0.088816,1
43,610140,0.108000,0.088816,1
44,610140,0.104000,0.088816,1
45,610140,0.101000,0.088816,1
46,610140,0.096500,0.088816,1
47,610140,0.103000,0.088816,1
48,610140,0.104000,0.088816,1
49,610140,0.106000,0.088816,1
50,610140,0.104500,0.088816,1
51,610140,0.105200,0.088816,1
52,610140,0.103400,0.088816,1
53,610140,0.103500,0.088816,1
54,610140,0.106900,0.088816,1
55,610140,0.101800,0.088816,1
56,610140,0.102900,0.088816,1
57,610140,0.098300,0.088816,1
58,610140,0.091700,0.088816,1
59,610140,0.090900,0.088816,1
60,610140,0.086900,0.088816,1
61,610140,0.085900,0.088816,1
62,610140,0.081800,0.088816,1
63,610140,0.082700,0.088816,1
64,610140,0.083300,0.088816,1
65,610140,0.080800,0.088816,1
66,610140,0.079700,0.088816,1
67,610140,0.084700,0.088816,1
68,610140,0.083200,0.088816,1
69,610140,0.079200,0.088816,1
70,610140,0.078600,0.088816,1
71,610140,0.074400,0.088816,1
72,610140,0.073700,0.088816,1
73,610140,0.074300,0.088816,1
74,610140,0.072800,0.088816,1
75,610140,0.072300,0.088816,1
76,610140,0.074000,0.088816,1
77,610140,0.074200,0.088816,1
78,610140,0.073550,0.088816,1
79,610140,0.071400,0.088816,1
80,610140,0.072450,0.088816,1
81,610140,0.073100,0.088816,1
82,610140,0.073500,0.088816,1
83,610140,0.074300,0.088816,1
84,610140,0.078150,0.088816,1
85,610140,0.080500,0.088816,1
86,610140,0.080900,0.088816,1
87,610140,0.085050,0.088816,1
88,610140,0.087750,0.088816,1
89,610140,0.090100,0.088816,1
90,610140,0.093250,0.088816,1
91,610140,0.090000,0.088816,1
92,610140,0.090100,0.088816,1
93,610140,0.091000,0.088816,1
94,610140,0.091550,0.088816,1
95,610140,0.097350,0.088816,1
96,610140,0.097850,0.088816,1
97,610140,0.100600,0.088816,1
98,610140,0.105000,0.088816,1
99,610140,0.103500,0.088816,1
100,610140,0.107050,0.088816,1
101,610140,0.109000,0.088816,1
102,610140,0.116500,0.088816,1
103,610140,0.119000,0.088816,1
104,610140,0.119000,0.088816,1
105,610140,0.120000,0.088816,1
106,610140,0.123500,0.088816,1
107,610140,0.127000,0.088816,1
108,610140,0.130000,0.088816,1
109,610140,0.118500,0.088816,1
110,610140,0.120000,0.088816,1
111,610140,0.118500,0.088816,1
112,610140,0.123500,0.088816,1
113,610140,0.108000,0.088816,1
114,610140,0.120500,0.088816,1
115,610140,0.129000,0.088816,1
116,610140,0.125000,0.088816,1
117,610140,0.128500,0.088816,1
118,610140,0.117000,0.088816,1
119,610140,0.114500,0.088816,1
120,610140,0.110500,0.088816,1
121,610140,0.106500,0.088816,1
122,610140,0.096000,0.088816,1
123,610140,0.094000,0.088816,1
124,610140,0.092000,0.088816,1
125,610140,0.093500,0.088816,1
126,610140,0.098300,0.088816,1
127,610140,0.101900,0.088816,1
128,610140,0.097200,0.088816,1
129,610140,0.099600,0.088816,1
130,610140,0.101000,0.088816,1
131,610140,0.105700,0.088816,1
132,610140,0.108200,0.088816,1
133,610140,0.111400,0.088816,1
134,610140,0.112300,0.088816,1
135,610140,0.117200,0.088816,1
136,610140,0.117500,0.088816,1
137,610140,0.118600,0.088816,1
138,610140,0.121500,0.088816,1
139,610140,0.126900,0.088816,1
140,610140,0.123200,0.088816,1
141,610140,0.129800,0.088816,1
142,610140,0.136000,0.088816,1
143,610140,0.139900,0.088816,1
144,610140,0.138300,0.088816,1
145,610140,0.142700,0.088816,1
146,610140,0.144300,0.088816,1
147,610140,0.150900,0.088816,1
148,610140,0.149300,0.088816,1
149,610140,0.155600,0.088816,1
150,610140,0.161300,0.088816,1
151,610140,0.159500,0.088816,1
152,610140,0.156400,0.088816,1
153,610140,0.156750,0.088816,1
154,610140,0.152450,0.088816,1
155,610140,0.156100,0.088816,1
156,610140,0.154150,0.088816,1
157,610140,0.154250,0.088816,1
158,610140,0.151100,0.088816,1
159,610140,0.145300,0.088816,1
160,610140,0.140650,0.088816,1
161,610140,0.138450,0.088816,1
162,610140,0.141400,0.088816,1
163,610140,0.137300,0.088816,1
164,610140,0.136550,0.088816,1
165,610140,0.133850,0.088816,1
166,610140,0.135300,0.088816,1
167,610140,0.132900,0.088816,1
168,610140,0.135450,0.088816,1
169,610140,0.131350,0.088816,1
170,610140,0.127500,0.088816,1
171,610140,0.124300,0.088816,1
172,610140,0.121400,0.088816,1
173,610140,0.123750,0.088816,1
174,610140,0.122750,0.088816,1
175,610140,0.121100,0.088816,1
176,610140,0.123500,0.088816,1
177,610140,0.134500,0.088816,1
178,610140,0.130000,0.088816,1
179,610140,0.143000,0.088816,1
180,610140,0.144500,0.088816,1
181,610140,0.150000,0.088816,1
182,610140,0.159000,0.088816,1
183,610140,0.167000,0.088816,1
184,610140,0.180500,0.088816,1
185,610140,0.179000,0.088816,1
186,610140,0.194000,0.088816,1
187,610140,0.199500,0.088816,1
188,610140,0.198000,0.088816,1
189,610140,0.205000,0.088816,1
190,610140,0.208000,0.088816,1
191,610140,0.224000,0.088816,1
192,610140,0.212500,0.088816,1
193,610140,0.221500,0.088816,1
194,610140,0.230500,0.088816,1
195,610140,0.222500,0.088816,1
196,610140,0.246000,0.088816,1
197,610140,0.238000,0.088816,1
198,610140,0.231000,0.088816,1
199,610140,0.245500,0.088816,1
200,610140,0.236000,0.088816,1
201,610140,0.230400,0.088816,1
202,610140,0.232900,0.088816,1
203,610140,0.233600,0.088816,1
204,610140,0.239300,0.088816,1
205,610140,0.234600,0.088816,1
206,610140,0.230300,0.088816,1
207,610140,0.218600,0.088816,1
208,610140,0.221200,0.088816,1
209,610140,0.215100,0.088816,1
210,610140,0.204600,0.088816,1
211,610140,0.212800,0.088816,1
212,610140,0.207600,0.088816,1
213,610140,0.210900,0.088816,1
214,610140,0.206200,0.088816,1
215,610140,0.206900,0.088816,1
216,610140,0.201900,0.088816,1
217,610140,0.196100,0.088816,1
218,610140,0.191500,0.088816,1
219,610140,0.184800,0.088816,1
220,610140,0.182800,0.088816,1
221,610140,0.178400,0.088816,1
222,610140,0.181200,0.088816,1
223,610140,0.175800,0.088816,1
224,610140,0.174000,0.088816,1
225,610140,0.173600,0.088816,1
226,610140,0.173300,0.088816,1
227,610140,0.175950,0.088816,1
228,610140,0.176800,0.088816,1
229,610140,0.180950,0.088816,1
230,610140,0.182050,0.088816,1
231,610140,0.184600,0.088816,1
232,610140,0.188150,0.088816,1
233,610140,0.187850,0.088816,1
234,610140,0.193450,0.088816,1
235,610140,0.197500,0.088816,1
236,610140,0.193100,0.088816,1
237,610140,0.194300,0.088816,1
238,610140,0.196800,0.088816,1
239,610140,0.200150,0.088816,1
240,610140,0.196350,0.088816,1
241,610140,0.196150,0.088816,1
242,610140,0.199300,0.088816,1
243,610140,0.200050,0.088816,1
244,610140,0.200450,0.088816,1
245,610140,0.198850,0.088816,1
246,610140,0.196800,0.088816,1
247,610140,0.198650,0.088816,1
248,610140,0.204100,0.088816,1
249,610140,0.205500,0.088816,1
250,610140,0.208000,0.088816,1
251,610140,0.197500,0.088816,1
252,610140,0.223000,0.088816,1
253,610140,0.241000,0.088816,1
254,610140,0.233000,0.088816,1
255,610140,0.245000,0.088816,1
256,610140,0.244500,0.088816,1
257,610140,0.249000,0.088816,1
258,610140,0.241000,0.088816,1
259,610140,0.239000,0.088816,1
260,610140,0.246000,0.088816,1
261,610140,0.241000,0.088816,1
262,610140,0.235500,0.088816,1
263,610140,0.248500,0.088816,1
264,610140,0.243000,0.088816,1
265,610140,0.237500,0.088816,1
266,610140,0.243500,0.088816,1
267,610140,0.241500,0.088816,1
268,610140,0.223500,0.088816,1
269,610140,0.227000,0.088816,1
270,610140,0.233000,0.088816,1
271,610140,0.239500,0.088816,1
272,610140,0.220500,0.088816,1
273,610140,0.230000,0.088816,1
274,610140,0.227000,0.088816,1
275,610140,0.215500,0.088816,1
276,610140,0.217100,0.088816,1
277,610140,0.213900,0.088816,1
278,610140,0.217400,0.088816,1
279,610140,0.215700,0.088816,1
280,610140,0.212000,0.088816,1
281,610140,0.221700,0.088816,1
282,610140,0.228200,0.088816,1
283,610140,0.231200,0.088816,1
