Generation,Position,Frequency,Effect,Origin
1,549130,0.975000,0.153675,1
1,793188,0.972000,1.142787,1
1,61014,0.964200,0.088816,1
1,1037246,0.738700,0.899229,1
1,1159275,0.711750,2.562669,1
1,915217,0.692500,2.521813,1
1,305072,0.502350,0.299654,1
1,183043,0.203800,0.101983,1
1,671159,0.092000,0.869496,1
1,427101,0.060100,0.285951,1
2,549130,0.974750,0.153675,1
2,793188,0.972700,1.142787,1
2,61014,0.965250,0.088816,1
2,1037246,0.739400,0.899229,1
2,1159275,0.710550,2.562669,1
2,915217,0.689850,2.521813,1
2,305072,0.504250,0.299654,1
2,183043,0.199850,0.101983,1
2,671159,0.092550,0.869496,1
2,427101,0.057900,0.285951,1
3,549130,0.975750,0.153675,1
3,793188,0.973700,1.142787,1
3,61014,0.962800,0.088816,1
3,1037246,0.739250,0.899229,1
3,1159275,0.709700,2.562669,1
3,915217,0.690400,2.521813,1
3,305072,0.502400,0.299654,1
3,183043,0.201050,0.101983,1
3,671159,0.093200,0.869496,1
3,427101,0.057350,0.285951,1
4,549130,0.975450,0.153675,1
4,793188,0.973700,1.142787,1
4,61014,0.960900,0.088816,1
4,1037246,0.741650,0.899229,1
4,1159275,0.712200,2.562669,1
4,915217,0.693000,2.521813,1
4,305072,0.501500,0.299654,1
4,183043,0.202750,0.101983,1
4,671159,0.094050,0.869496,1
4,427101,0.055250,0.285951,1
5,549130,0.975000,0.153675,1
5,793188,0.973000,1.142787,1
5,61014,0.960750,0.088816,1
5,1037246,0.744950,0.899229,1
5,1159275,0.722650,2.562669,1
5,915217,0.693150,2.521813,1
5,305072,0.493950,0.299654,1
5,183043,0.205550,0.101983,1
5,671159,0.093700,0.869496,1
5,427101,0.054850,0.285951,1
6,549130,0.975800,0.153675,1
6,793188,0.972350,1.142787,1
6,61014,0.960450,0.088816,1
6,1037246,0.745600,0.899229,1
6,1159275,0.726800,2.562669,1
6,915217,0.698800,2.521813,1
6,305072,0.498200,0.299654,1
6,183043,0.205650,0.101983,1
6,671159,0.092400,0.869496,1
6,427101,0.055450,0.285951,1
7,549130,0.973350,0.153675,1
7,793188,0.972150,1.142787,1
7,61014,0.960700,0.088816,1
7,1037246,0.749050,0.899229,1
7,1159275,0.731400,2.562669,1
7,915217,0.705100,2.521813,1
7,305072,0.498100,0.299654,1
7,183043,0.207250,0.101983,1
7,671159,0.094150,0.869496,1
7,427101,0.055900,0.285951,1
8,549130,0.972850,0.153675,1
8,793188,0.972400,1.142787,1
8,61014,0.960750,0.088816,1
8,1037246,0.754550,0.899229,1
8,1159275,0.740100,2.562669,1
8,915217,0.706900,2.521813,1
8,305072,0.496900,0.299654,1
8,183043,0.205250,0.101983,1
8,671159,0.095550,0.869496,1
8,427101,0.056300,0.285951,1
9,549130,0.974000,0.153675,1
9,793188,0.971600,1.142787,1
9,61014,0.961650,0.088816,1
9,1037246,0.763100,0.899229,1
9,1159275,0.743900,2.562669,1
9,915217,0.716250,2.521813,1
9,305072,0.494750,0.299654,1
9,183043,0.205050,0.101983,1
9,671159,0.098400,0.869496,1
9,427101,0.056650,0.285951,1
10,549130,0.977050,0.153675,1
10,793188,0.971350,1.142787,1
10,61014,0.961850,0.088816,1
10,1037246,0.762950,0.899229,1
10,1159275,0.745050,2.562669,1
10,915217,0.714600,2.521813,1
10,305072,0.497550,0.299654,1
10,183043,0.205800,0.101983,1
10,671159,0.099150,0.869496,1
10,427101,0.059450,0.285951,1
11,549130,0.978400,0.153675,1
11,793188,0.970550,1.142787,1
11,61014,0.961400,0.088816,1
11,1037246,0.760200,0.899229,1
11,1159275,0.748550,2.562669,1
11,915217,0.714000,2.521813,1
11,305072,0.499950,0.299654,1
11,183043,0.208150,0.101983,1
11,671159,0.101850,0.869496,1
11,427101,0.058100,0.285951,1
12,549130,0.978450,0.153675,1
12,793188,0.972800,1.142787,1
12,61014,0.960650,0.088816,1
12,1037246,0.759550,0.899229,1
12,1159275,0.752450,2.562669,1
12,915217,0.718650,2.521813,1
12,305072,0.499450,0.299654,1
12,183043,0.208600,0.101983,1
12,671159,0.100900,0.869496,1
12,427101,0.058300,0.285951,1
13,549130,0.979300,0.153675,1
13,793188,0.974000,1.142787,1
13,61014,0.961600,0.088816,1
13,1037246,0.765650,0.899229,1
13,1159275,0.754850,2.562669,1
13,915217,0.724050,2.521813,1
13,305072,0.498350,0.299654,1
13,183043,0.205400,0.101983,1
13,671159,0.104100,0.869496,1
13,427101,0.058650,0.285951,1
14,549130,0.981600,0.153675,1
14,793188,0.971900,1.142787,1
14,61014,0.962950,0.088816,1
14,1037246,0.767700,0.899229,1
14,1159275,0.759450,2.562669,1
14,915217,0.726550,2.521813,1
14,305072,0.493200,0.299654,1
14,183043,0.208500,0.101983,1
14,671159,0.104600,0.869496,1
14,427101,0.060100,0.285951,1
15,549130,0.982250,0.153675,1
15,793188,0.970100,1.142787,1
15,61014,0.960650,0.088816,1
15,1037246,0.772300,0.899229,1
15,1159275,0.761950,2.562669,1
15,915217,0.731700,2.521813,1
15,305072,0.490450,0.299654,1
15,183043,0.209000,0.101983,1
15,671159,0.108200,0.869496,1
15,427101,0.057400,0.285951,1
16,549130,0.981350,0.153675,1
16,793188,0.970350,1.142787,1
16,61014,0.959300,0.088816,1
16,1037246,0.772450,0.899229,1
16,1159275,0.765450,2.562669,1
16,915217,0.728400,2.521813,1
16,305072,0.494300,0.299654,1
16,183043,0.208900,0.101983,1
16,671159,0.109300,0.869496,1
16,427101,0.058150,0.285951,1
17,549130,0.981250,0.153675,1
17,793188,0.969100,1.142787,1
17,61014,0.961100,0.088816,1
17,1037246,0.775600,0.899229,1
17,1159275,0.769900,2.562669,1
17,915217,0.732550,2.521813,1
17,305072,0.493800,0.299654,1
17,183043,0.214750,0.101983,1
17,671159,0.113350,0.869496,1
17,427101,0.056200,0.285951,1
18,549130,0.982550,0.153675,1
18,793188,0.970450,1.142787,1
18,61014,0.963550,0.088816,1
18,1037246,0.777800,0.899229,1
18,1159275,0.774750,2.562669,1
18,915217,0.737300,2.521813,1
18,305072,0.494850,0.299654,1
18,183043,0.212750,0.101983,1
18,671159,0.114650,0.869496,1
18,427101,0.057700,0.285951,1
19,549130,0.982600,0.153675,1
19,793188,0.971100,1.142787,1
19,61014,0.962900,0.088816,1
19,1037246,0.780150,0.899229,1
19,1159275,0.772100,2.562669,1
19,915217,0.738700,2.521813,1
19,305072,0.496900,0.299654,1
19,183043,0.218200,0.101983,1
19,671159,0.112600,0.869496,1
19,427101,0.059900,0.285951,1
20,549130,0.982250,0.153675,1
20,793188,0.972450,1.142787,1
20,61014,0.960350,0.088816,1
20,1037246,0.776450,0.899229,1
20,1159275,0.775600,2.562669,1
20,915217,0.740000,2.521813,1
20,305072,0.500950,0.299654,1
20,183043,0.213450,0.101983,1
20,671159,0.110300,0.869496,1
20,427101,0.060550,0.285951,1
21,549130,0.982350,0.153675,1
21,793188,0.974850,1.142787,1
21,61014,0.958800,0.088816,1
