Generation,Position,Frequency,Effect,Origin
1,610140,0.099650,0.088816,1
2,610140,0.096500,0.088816,1
3,610140,0.095650,0.088816,1
4,610140,0.096650,0.088816,1
5,610140,0.099900,0.088816,1
6,610140,0.101600,0.088816,1
7,610140,0.101800,0.088816,1
8,610140,0.101750,0.088816,1
9,610140,0.101700,0.088816,1
10,610140,0.104600,0.088816,1
11,610140,0.105000,0.088816,1
12,610140,0.106200,0.088816,1
13,610140,0.105100,0.088816,1
14,610140,0.106600,0.088816,1
15,610140,0.104900,0.088816,1
16,610140,0.109350,0.088816,1
17,610140,0.107900,0.088816,1
18,610140,0.108400,0.088816,1
19,610140,0.109550,0.088816,1
20,610140,0.112450,0.088816,1
21,610140,0.115750,0.088816,1
22,610140,0.112550,0.088816,1
23,610140,0.110350,0.088816,1
24,610140,0.111650,0.088816,1
25,610140,0.113000,0.088816,1
26,610140,0.108250,0.088816,1
27,610140,0.103150,0.088816,1
28,610140,0.102050,0.088816,1
29,610140,0.098150,0.088816,1
30,610140,0.102200,0.088816,1
31,610140,0.101500,0.088816,1
32,610140,0.098500,0.088816,1
33,610140,0.097700,0.088816,1
34,610140,0.094200,0.088816,1
35,610140,0.092600,0.088816,1
36,610140,0.090650,0.088816,1
37,610140,0.087700,0.088816,1
38,610140,0.087750,0.088816,1
39,610140,0.088050,0.088816,1
40,610140,0.087300,0.088816,1
41,610140,0.085700,0.088816,1
42,610140,0.085400,0.088816,1
43,610140,0.083300,0.088816,1
44,610140,0.079700,0.088816,1
45,610140,0.078400,0.088816,1
46,610140,0.080250,0.088816,1
47,610140,0.080950,0.088816,1
48,610140,0.080150,0.088816,1
49,610140,0.080350,0.088816,1
50,610140,0.078050,0.088816,1
51,610140,0.077750,0.088816,1
52,610140,0.078750,0.088816,1
53,610140,0.081150,0.088816,1
54,610140,0.082450,0.088816,1
55,610140,0.081550,0.088816,1
56,610140,0.082850,0.088816,1
57,610140,0.085050,0.088816,1
58,610140,0.087900,0.088816,1
59,610140,0.090150,0.088816,1
60,610140,0.092950,0.088816,1
61,610140,0.091250,0.088816,1
62,610140,0.093350,0.088816,1
63,610140,0.094750,0.088816,1
64,610140,0.096550,0.088816,1
65,610140,0.097250,0.088816,1
66,610140,0.099250,0.088816,1
67,610140,0.095200,0.088816,1
68,610140,0.098250,0.088816,1
69,610140,0.100300,0.088816,1
70,610140,0.104350,0.088816,1
71,610140,0.109100,0.088816,1
72,610140,0.110100,0.088816,1
73,610140,0.108450,0.088816,1
74,610140,0.111150,0.088816,1
75,610140,0.112250,0.088816,1
76,610140,0.108600,0.088816,1
77,610140,0.102550,0.088816,1
78,610140,0.102250,0.088816,1
79,610140,0.103250,0.088816,1
80,610140,0.100500,0.088816,1
81,610140,0.098550,0.088816,1
82,610140,0.096750,0.088816,1
83,610140,0.096400,0.088816,1
84,610140,0.094150,0.088816,1
85,610140,0.090950,0.088816,1
86,610140,0.087800,0.088816,1
87,610140,0.086300,0.088816,1
88,610140,0.083200,0.088816,1
89,610140,0.083900,0.088816,1
90,610140,0.086200,0.088816,1
91,610140,0.084700,0.088816,1
92,610140,0.084050,0.088816,1
93,610140,0.080000,0.088816,1
94,610140,0.081150,0.088816,1
95,610140,0.081400,0.088816,1
96,610140,0.081450,0.088816,1
97,610140,0.079300,0.088816,1
98,610140,0.079100,0.088816,1
99,610140,0.078550,0.088816,1
100,610140,0.078500,0.088816,1
101,610140,0.079250,0.088816,1
102,610140,0.078150,0.088816,1
103,610140,0.075300,0.088816,1
104,610140,0.076600,0.088816,1
105,610140,0.075300,0.088816,1
106,610140,0.075600,0.088816,1
107,610140,0.075600,0.088816,1
108,610140,0.077250,0.088816,1
109,610140,0.078300,0.088816,1
110,610140,0.079600,0.088816,1
111,610140,0.079250,0.088816,1
112,610140,0.079350,0.088816,1
113,610140,0.079850,0.088816,1
114,610140,0.079850,0.088816,1
115,610140,0.081300,0.088816,1
116,610140,0.083150,0.088816,1
117,610140,0.087150,0.088816,1
118,610140,0.091650,0.088816,1
119,610140,0.093450,0.088816,1
120,610140,0.095500,0.088816,1
121,610140,0.093750,0.088816,1
122,610140,0.098000,0.088816,1
123,610140,0.100350,0.088816,1
124,610140,0.100900,0.088816,1
125,610140,0.099850,0.088816,1
126,610140,0.097300,0.088816,1
127,610140,0.095650,0.088816,1
128,610140,0.096100,0.088816,1
129,610140,0.092700,0.088816,1
130,610140,0.093050,0.088816,1
131,610140,0.090550,0.088816,1
132,610140,0.089650,0.088816,1
133,610140,0.088700,0.088816,1
134,610140,0.087600,0.088816,1
135,610140,0.086800,0.088816,1
136,610140,0.083450,0.088816,1
137,610140,0.081500,0.088816,1
138,610140,0.076900,0.088816,1
139,610140,0.078350,0.088816,1
140,610140,0.079100,0.088816,1
141,610140,0.076850,0.088816,1
142,610140,0.076150,0.088816,1
143,610140,0.076300,0.088816,1
144,610140,0.076550,0.088816,1
145,610140,0.076750,0.088816,1
146,610140,0.076050,0.088816,1
147,610140,0.077500,0.088816,1
148,610140,0.077350,0.088816,1
149,610140,0.075700,0.088816,1
150,610140,0.072950,0.088816,1
151,610140,0.070500,0.088816,1
152,610140,0.069400,0.088816,1
153,610140,0.070300,0.088816,1
154,610140,0.068950,0.088816,1
155,610140,0.069350,0.088816,1
156,610140,0.073800,0.088816,1
157,610140,0.072850,0.088816,1
158,610140,0.075200,0.088816,1
159,610140,0.072900,0.088816,1
160,610140,0.074600,0.088816,1
161,610140,0.077700,0.088816,1
162,610140,0.080450,0.088816,1
163,610140,0.082650,0.088816,1
164,610140,0.085000,0.088816,1
165,610140,0.084500,0.088816,1
166,610140,0.085550,0.088816,1
167,610140,0.087600,0.088816,1
168,610140,0.089300,0.088816,1
169,610140,0.092050,0.088816,1
170,610140,0.095450,0.088816,1
171,610140,0.095950,0.088816,1
172,610140,0.096250,0.088816,1
173,610140,0.094600,0.088816,1
174,610140,0.095650,0.088816,1
175,610140,0.096300,0.088816,1
176,610140,0.095000,0.088816,1
177,610140,0.094350,0.088816,1
178,610140,0.089850,0.088816,1
179,610140,0.086150,0.088816,1
180,610140,0.084300,0.088816,1
181,610140,0.082100,0.088816,1
182,610140,0.080600,0.088816,1
183,610140,0.074700,0.088816,1
184,610140,0.069850,0.088816,1
185,610140,0.071150,0.088816,1
186,610140,0.069700,0.088816,1
187,610140,0.064600,0.088816,1
188,610140,0.064800,0.088816,1
189,610140,0.062100,0.088816,1
190,610140,0.061850,0.088816,1
191,610140,0.058700,0.088816,1
192,610140,0.055450,0.088816,1
193,610140,0.053950,0.088816,1
194,610140,0.054550,0.088816,1
195,610140,0.050850,0.088816,1
196,610140,0.047400,0.088816,1
197,610140,0.044000,0.088816,1
198,610140,0.044000,0.088816,1
199,610140,0.044450,0.088816,1
200,610140,0.042050,0.088816,1
201,610140,0.044050,0.088816,1
202,610140,0.044450,0.088816,1
203,610140,0.045600,0.088816,1
204,610140,0.047850,0.088816,1
205,610140,0.047300,0.088816,1
206,610140,0.048700,0.088816,1
207,610140,0.048700,0.088816,1
208,610140,0.047000,0.088816,1
209,610140,0.048400,0.088816,1
210,610140,0.050850,0.088816,1
211,610140,0.052400,0.088816,1
212,610140,0.049200,0.088816,1
213,610140,0.051500,0.088816,1
214,610140,0.053500,0.088816,1
215,610140,0.052150,0.088816,1
216,610140,0.055400,0.088816,1
217,610140,0.057100,0.088816,1
218,610140,0.057800,0.088816,1
219,610140,0.057100,0.088816,1
220,610140,0.057150,0.088816,1
221,610140,0.058050,0.088816,1
222,610140,0.058150,0.088816,1
223,610140,0.059450,0.088816,1
224,610140,0.059750,0.088816,1
225,610140,0.064200,0.088816,1
226,610140,0.062850,0.088816,1
227,610140,0.063250,0.088816,1
228,610140,0.064300,0.088816,1
229,610140,0.062600,0.088816,1
230,610140,0.060400,0.088816,1
231,610140,0.057900,0.088816,1
232,610140,0.059100,0.088816,1
233,610140,0.060400,0.088816,1
234,610140,0.057400,0.088816,1
235,610140,0.056750,0.088816,1
236,610140,0.055350,0.088816,1
237,610140,0.055150,0.088816,1
238,610140,0.050900,0.088816,1
239,610140,0.049000,0.088816,1
240,610140,0.045800,0.088816,1
241,610140,0.043350,0.088816,1
242,610140,0.040950,0.088816,1
243,610140,0.038800,0.088816,1
244,610140,0.036750,0.088816,1
245,610140,0.034500,0.088816,1
246,610140,0.033800,0.088816,1
247,610140,0.031300,0.088816,1
248,610140,0.031650,0.088816,1
249,610140,0.028400,0.088816,1
250,610140,0.028850,0.088816,1
251,610140,0.029800,0.088816,1
252,610140,0.030700,0.088816,1
253,610140,0.030750,0.088816,1
254,610140,0.029650,0.088816,1
255,610140,0.029050,0.088816,1
256,610140,0.028200,0.088816,1
257,610140,0.028750,0.088816,1
258,610140,0.030100,0.088816,1
259,610140,0.030300,0.088816,1
260,610140,0.031300,0.088816,1
261,610140,0.031750,0.088816,1
262,610140,0.032200,0.088816,1
263,610140,0.032350,0.088816,1
264,610140,0.034200,0.088816,1
265,610140,0.032900,0.088816,1
266,610140,0.032250,0.088816,1
267,610140,0.032350,0.088816,1
268,610140,0.030950,0.088816,1
269,610140,0.031700,0.088816,1
270,610140,0.032250,0.088816,1
271,610140,0.029150,0.088816,1
272,610140,0.029450,0.088816,1
273,610140,0.029250,0.088816,1
274,610140,0.028800,0.088816,1
275,610140,0.030850,0.088816,1
276,610140,0.029200,0.088816,1
277,610140,0.028700,0.088816,1
278,610140,0.027250,0.088816,1
279,610140,0.027100,0.088816,1
280,610140,0.024100,0.088816,1
281,610140,0.024850,0.088816,1
282,610140,0.022150,0.088816,1
283,610140,0.021950,0.088816,1
